,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
1135,Hotel Weddings,Alibaug,362548,89444,472238,98943,327705,Floral Decor,111982,Professional Singer/Dance,1125,Traditional Handicrafts,390,Customized Invitations
1136,Cruise Weddings,Hyderabad,3683467,148674,126776,212043,561667,Luxury Package,273439,Celebrity Singers/Dancer,2541,High-Quality,365,Customized Invitations
1137,Heritage Weddings,Lonavala,7461628,991691,492789,196657,208997,Floral Decor,452866,Celebrity Singers/Dancer,1163,Traditional Handicrafts,945,Scroll Invitations
1138,Cruise Weddings,Shimla,7913129,194556,84029,216897,503502,Luxury Package,30325,Live Band,3811,High-Quality,447,Customized Invitations
1139,Heritage Weddings,Udaipur,5853784,448644,340096,21540,312600,Floral Decor,368932,Celebrity Singers/Dancer,2169,High-Quality,430,Customized Invitations
1140,Cruise Weddings,Neil Island,4202947,213393,102974,82578,341585,Floral Decor,92866,Live Band,2455,High-Quality,914,Scroll Invitations
1141,Beach Weddings,////Rishikesh////xc2,2689290,138204,93002,299554,354448,Floral Decor,121450,Professional Singer/Dance,1415,Traditional Handicrafts,182,Customized Invitations
1142,////Destination Weddings////,Nainital,4379245,600521,190274,188040,184494,Venue Decor/519830,39614,Live Band,3822,High-Quality,487,Customized Invitations
1143,Cruise Weddings,Goa,6579579,245001,141789,37926,585287,Luxury Package,33964,Live Band,1984,Traditional Handicrafts,560,Boxed
1144,Beach Weddings,Varanasi,2392285,81982,69682,290712,208173,Floral Decor,341574,Celebrity Singers/Dancer,2176,High-Quality,81,Traditional Paper
1145,////Destination Weddings////,Hyderabad,5850517,663542,278117,54383,581883,Luxury Package,109692,Professional Singer/Dance,1774,Traditional Handicrafts,422,Customized Invitations
1146,Cruise Weddings,New Delhi,7454024,168831,133506,117284,255249,Floral Decor,196694,Professional Singer/Dance,867,Edible,120,Customized Invitations
1147,////Destination Weddings////,Nainital,5482627,516297,253849,25951,84553,Venue Decor/519830,262694,Celebrity Singers/Dancer,1312,Traditional Handicrafts,806,Scroll Invitations
1148,////Farmhouse Weddings////,Alibaug,2940118,71225,44631,101375,301647,Floral Decor,80004,Live Band,3343,High-Quality,370,Customized Invitations
1149,////Temple Weddings////,Lonavala,49567,17604,5051,170604,185740,Venue Decor/519830,112922,Professional Singer/Dance,3767,High-Quality,415,Customized Invitations
1150,////Destination Weddings////,Tirupati,3245727,583404,229371,141375,178574,Venue Decor/519830,349306,Celebrity Singers/Dancer,3616,High-Quality,582,Boxed
1151,Palace Weddings,Nainital,6525312,356030,425147,111238,476766,Luxury Package,414183,Celebrity Singers/Dancer,1172,Traditional Handicrafts,486,Customized Invitations
1152,Beach Weddings,////Mussoorie////,4150585,88728,43117,30285,68453,Venue Decor/519830,268073,Celebrity Singers/Dancer,3177,High-Quality,692,Boxed
1153,Resort Weddings,New Delhi,1737552,70883,86450,254914,180857,Venue Decor/519830,395159,Celebrity Singers/Dancer,1711,Traditional Handicrafts,943,Scroll Invitations
1154,Hotel Weddings,Bangalore,541669,59614,314713,184363,82530,Venue Decor/519830,441593,Celebrity Singers/Dancer,1234,Traditional Handicrafts,651,Boxed
1155,Resort Weddings,Jaipur,2460070,170270,64494,269536,164624,Venue Decor/519830,28218,DJ/Sangeet,1151,Traditional Handicrafts,933,Scroll Invitations
1156,Heritage Weddings,Nainital,8366504,638108,599014,54714,225663,Floral Decor,339169,Celebrity Singers/Dancer,771,Edible,810,Scroll Invitations
1157,Cruise Weddings,Bangalore,5252841,202175,130699,290815,220181,Floral Decor,303657,Celebrity Singers/Dancer,4300,Premium Perfumes,418,Customized Invitations
1158,Resort Weddings,New Delhi,1522391,67431,73507,215240,371554,Floral Decor,384371,Celebrity Singers/Dancer,1857,Traditional Handicrafts,704,Boxed
1159,////Farmhouse Weddings////,Udaipur,2123290,77094,67115,217423,360726,Floral Decor,236310,Professional Singer/Dance,4527,Premium Perfumes,394,Customized Invitations
1160,Palace Weddings,////Bangaram Island////,6314368,635355,535492,85412,125432,Venue Decor/519830,68480,Live Band,4086,Premium Perfumes,495,Customized Invitations
1161,////Farmhouse Weddings////,Udaipur,3636307,82089,36695,241251,490014,Luxury Package,363484,Celebrity Singers/Dancer,4777,Premium Perfumes,752,Boxed
1162,Palace Weddings,Jaisalmer,5848445,832039,207414,126806,228031,Floral Decor,190466,Professional Singer/Dance,1563,Traditional Handicrafts,968,Scroll Invitations
1163,Palace Weddings,Jaisalmer,7024980,757894,446594,31256,498708,Luxury Package,222458,Professional Singer/Dance,1107,Traditional Handicrafts,844,Scroll Invitations
1164,Hotel Weddings,Nainital,308745,96849,540503,206126,541221,Luxury Package,480434,Celebrity Singers/Dancer,2527,High-Quality,404,Customized Invitations
1165,Heritage Weddings,////Rishikesh////xc2,8670712,814308,322715,232597,363146,Floral Decor,224429,Professional Singer/Dance,4971,Premium Perfumes,181,Customized Invitations
1166,////Farmhouse Weddings////,Jodhpur,3827126,53983,46365,133497,232631,Floral Decor,254976,Celebrity Singers/Dancer,675,Edible,698,Boxed
1167,Resort Weddings,Udaipur,1942232,93624,42739,64348,561655,Luxury Package,263166,Celebrity Singers/Dancer,2346,High-Quality,95,Traditional Paper
1168,Cruise Weddings,Bangalore,4312742,101227,83174,196493,395866,Floral Decor,387253,Celebrity Singers/Dancer,3089,High-Quality,848,Scroll Invitations
1169,////Farmhouse Weddings////,Shimla,2061587,54368,83874,25778,58784,Mandap,413320,Celebrity Singers/Dancer,4699,Premium Perfumes,505,Boxed
1170,Cruise Weddings,////Rishikesh////xc2,5657224,213357,86359,183598,548827,Luxury Package,239753,Professional Singer/Dance,4841,Premium Perfumes,519,Boxed
1171,Cruise Weddings,Jodhpur,6716439,197218,145752,133508,84915,Venue Decor/519830,49868,Live Band,3184,High-Quality,116,Customized Invitations
1172,////Temple Weddings////,New Delhi,18133,26179,12425,36398,153325,Venue Decor/519830,422612,Celebrity Singers/Dancer,1396,Traditional Handicrafts,131,Customized Invitations
1173,////Temple Weddings////,Jodhpur,87707,29787,7597,211048,226556,Floral Decor,270089,Celebrity Singers/Dancer,704,Edible,96,Traditional Paper
1174,////Destination Weddings////,////Rishikesh////xc2,5944767,512028,278819,270865,348524,Floral Decor,84956,Live Band,4826,Premium Perfumes,557,Boxed
1175,////Temple Weddings////,Hyderabad,66333,28810,8150,43256,461592,Luxury Package,274316,Celebrity Singers/Dancer,4745,Premium Perfumes,538,Boxed
1176,////Temple Weddings////,Varanasi,33582,29327,12325,299875,422223,Luxury Package,364366,Celebrity Singers/Dancer,1409,Traditional Handicrafts,723,Boxed
1177,Resort Weddings,Goa,3336373,76504,31047,55298,281215,Floral Decor,247301,Professional Singer/Dance,1741,Traditional Handicrafts,726,Boxed
1178,Palace Weddings,Lonavala,8413620,842163,481811,184177,122932,Venue Decor/519830,179411,Professional Singer/Dance,1413,Traditional Handicrafts,478,Customized Invitations
1179,Heritage Weddings,Udaipur,8818614,809971,804792,224150,176840,Venue Decor/519830,444656,Celebrity Singers/Dancer,1129,Traditional Handicrafts,454,Customized Invitations
1180,Heritage Weddings,Alibaug,7179003,597086,244970,214048,330446,Floral Decor,458419,Celebrity Singers/Dancer,1288,Traditional Handicrafts,718,Boxed
1181,Beach Weddings,////Agatti Island////xc2,1797894,188270,31685,155648,393454,Floral Decor,105684,Professional Singer/Dance,2553,High-Quality,181,Customized Invitations
1182,Hotel Weddings,Hyderabad,266246,79082,534457,178745,329821,Floral Decor,466063,Celebrity Singers/Dancer,1251,Traditional Handicrafts,175,Customized Invitations
1183,Resort Weddings,////Agatti Island////xc2,2678866,75219,74898,117833,241430,Floral Decor,116821,Professional Singer/Dance,2539,High-Quality,186,Customized Invitations
1184,////Destination Weddings////,Neil Island,5810400,507807,366062,262375,536703,Luxury Package,91406,Live Band,4366,Premium Perfumes,317,Customized Invitations
1185,Heritage Weddings,Mumbai,6162380,686779,663882,228682,65729,Venue Decor/519830,436950,Celebrity Singers/Dancer,4506,Premium Perfumes,775,Boxed
1186,Resort Weddings,Nainital,3330911,189259,60610,198159,593595,Luxury Package,218267,Professional Singer/Dance,1084,Traditional Handicrafts,376,Customized Invitations
1187,Cruise Weddings,////Agatti Island////xc2,6917793,158327,80932,140504,531904,Luxury Package,235101,Professional Singer/Dance,3427,High-Quality,369,Customized Invitations
1188,Palace Weddings,Mumbai,6657329,862541,310802,159556,491091,Luxury Package,494392,Celebrity Singers/Dancer,4767,Premium Perfumes,117,Customized Invitations
1189,////Farmhouse Weddings////,Lonavala,3011241,86125,46341,51235,313857,Floral Decor,372620,Celebrity Singers/Dancer,4812,Premium Perfumes,609,Boxed
1190,Resort Weddings,New Delhi,2565946,113212,91501,139966,542298,Luxury Package,494330,Celebrity Singers/Dancer,4625,Premium Perfumes,814,Scroll Invitations
1191,Cruise Weddings,Jaipur,7793854,116955,82206,237800,343120,Floral Decor,218512,Professional Singer/Dance,2017,High-Quality,517,Boxed
1192,Hotel Weddings,////Bangaram Island////,276179,74958,340959,289919,63111,Venue Decor/519830,272905,Celebrity Singers/Dancer,1576,Traditional Handicrafts,70,Traditional Paper
1193,Beach Weddings,////Agatti Island////xc2,4913670,145822,80857,248328,581482,Luxury Package,158111,Professional Singer/Dance,685,Edible,183,Customized Invitations
1194,Palace Weddings,Udaipur,6981361,646462,112095,71959,428316,Luxury Package,381405,Celebrity Singers/Dancer,1726,Traditional Handicrafts,290,Customized Invitations
1195,Resort Weddings,////Mussoorie////,3445982,151877,107573,31441,109789,Venue Decor/519830,166078,Professional Singer/Dance,1285,Traditional Handicrafts,221,Customized Invitations
1196,////Destination Weddings////,Bangalore,5902236,639646,311402,58905,96903,Venue Decor/519830,442764,Celebrity Singers/Dancer,2104,High-Quality,355,Customized Invitations
1197,Heritage Weddings,Tirupati,7756560,688770,720269,189747,575965,Luxury Package,26651,DJ/Sangeet,2808,High-Quality,890,Scroll Invitations
1198,////Farmhouse Weddings////,Bangalore,1599751,59300,85388,180262,74408,Venue Decor/519830,46459,Live Band,3333,High-Quality,509,Boxed
1199,////Farmhouse Weddings////,////Mussoorie////,2217075,69809,76637,148962,244203,Floral Decor,404656,Celebrity Singers/Dancer,1969,Traditional Handicrafts,246,Customized Invitations
1200,////Temple Weddings////,Nainital,37345,23039,7954,220702,542272,Luxury Package,247236,Professional Singer/Dance,4401,Premium Perfumes,392,Customized Invitations
1201,Cruise Weddings,Shimla,6466677,220390,79514,115478,57830,Mandap,124605,Professional Singer/Dance,3656,High-Quality,502,Boxed
1202,Cruise Weddings,Goa,3963318,205729,83956,49245,199742,Venue Decor/519830,68149,Live Band,4977,Premium Perfumes,953,Scroll Invitations
1203,////Temple Weddings////,Alibaug,92732,17716,7696,141200,169171,Venue Decor/519830,57012,Live Band,1918,Traditional Handicrafts,188,Customized Invitations
1204,Heritage Weddings,////Bangaram Island////,7029632,496423,172652,92276,209710,Floral Decor,368919,Celebrity Singers/Dancer,2939,High-Quality,61,Traditional Paper
1205,////Farmhouse Weddings////,////Mussoorie////,3152922,59036,42843,277117,596241,Luxury Package,447314,Celebrity Singers/Dancer,2853,High-Quality,826,Scroll Invitations
1206,////Destination Weddings////,Nainital,3928856,638810,302265,103534,472605,Luxury Package,371710,Celebrity Singers/Dancer,1162,Traditional Handicrafts,178,Customized Invitations
1207,////Destination Weddings////,////Agatti Island////xc2,5521146,559550,215041,260866,549190,Luxury Package,87969,Live Band,3696,High-Quality,52,Traditional Paper
1208,////Farmhouse Weddings////,Shimla,2903542,81906,81399,111783,313039,Floral Decor,475794,Celebrity Singers/Dancer,2736,High-Quality,255,Customized Invitations
1209,Hotel Weddings,Hyderabad,550840,77619,196289,208858,479634,Luxury Package,295313,Celebrity Singers/Dancer,2982,High-Quality,690,Boxed
1210,Heritage Weddings,Tirupati,10620570,816754,386972,219591,223035,Floral Decor,254198,Celebrity Singers/Dancer,1074,Traditional Handicrafts,640,Boxed
1211,Beach Weddings,Neil Island,1904034,110132,94506,193599,402295,Luxury Package,204021,Professional Singer/Dance,3962,High-Quality,249,Customized Invitations
1212,Beach Weddings,Bangalore,2183842,115297,33793,195698,472735,Luxury Package,360636,Celebrity Singers/Dancer,2349,High-Quality,136,Customized Invitations
1213,Heritage Weddings,////Bangaram Island////,8003222,746078,455392,230952,499095,Luxury Package,268847,Celebrity Singers/Dancer,3155,High-Quality,645,Boxed
1214,Beach Weddings,Tirupati,3357181,171586,79954,165128,98528,Venue Decor/519830,180943,Professional Singer/Dance,1923,Traditional Handicrafts,936,Scroll Invitations
1215,Beach Weddings,Goa,3146262,155983,38638,250276,387264,Floral Decor,68183,Live Band,1338,Traditional Handicrafts,323,Customized Invitations
1216,Cruise Weddings,Alibaug,5858622,153032,105003,181797,456871,Luxury Package,329742,Celebrity Singers/Dancer,4034,Premium Perfumes,737,Boxed
1217,////Farmhouse Weddings////,New Delhi,2747658,62928,78116,33722,552237,Luxury Package,92808,Live Band,2695,High-Quality,358,Customized Invitations
1218,Heritage Weddings,Neil Island,10726246,231634,611388,227968,576183,Luxury Package,388623,Celebrity Singers/Dancer,503,Edible,323,Customized Invitations
1219,Palace Weddings,////Mussoorie////,5647220,321915,376552,130906,447927,Luxury Package,402564,Celebrity Singers/Dancer,1679,Traditional Handicrafts,576,Boxed
1220,Cruise Weddings,Hyderabad,7095995,142819,122705,254368,111986,Venue Decor/519830,119687,Professional Singer/Dance,3462,High-Quality,599,Boxed
1221,Heritage Weddings,Bangalore,10868445,921160,791939,187434,201210,Floral Decor,88636,Live Band,4030,Premium Perfumes,317,Customized Invitations
1222,Palace Weddings,Jodhpur,8380469,308029,412327,143424,71271,Venue Decor/519830,199096,Professional Singer/Dance,4868,Premium Perfumes,154,Customized Invitations
1223,Beach Weddings,Jodhpur,1892832,110678,45010,190626,153477,Venue Decor/519830,95437,Live Band,958,Edible,397,Customized Invitations
1224,Hotel Weddings,Nainital,530504,94718,33487,48802,199624,Venue Decor/519830,72650,Live Band,2811,High-Quality,760,Boxed
1225,////Destination Weddings////,////Rishikesh////xc2,5574816,575556,270910,105313,290804,Floral Decor,139142,Professional Singer/Dance,2081,High-Quality,303,Customized Invitations
1226,Resort Weddings,Varanasi,2279533,137426,62714,242432,156533,Venue Decor/519830,224019,Professional Singer/Dance,1310,Traditional Handicrafts,892,Scroll Invitations
1227,Heritage Weddings,Udaipur,9763753,271248,133087,86432,251599,Floral Decor,256344,Celebrity Singers/Dancer,4472,Premium Perfumes,604,Boxed
1228,////Temple Weddings////,Hyderabad,53862,27707,7297,213003,422758,Luxury Package,320982,Celebrity Singers/Dancer,3258,High-Quality,589,Boxed
1229,Beach Weddings,New Delhi,4472317,142756,88143,139815,270760,Floral Decor,292887,Celebrity Singers/Dancer,1189,Traditional Handicrafts,199,Customized Invitations
1230,Palace Weddings,Udaipur,7130536,754741,116977,121188,164759,Venue Decor/519830,170455,Professional Singer/Dance,2546,High-Quality,82,Traditional Paper
1231,Beach Weddings,Goa,3907599,165666,43106,46248,158594,Venue Decor/519830,320020,Celebrity Singers/Dancer,745,Edible,782,Boxed
1232,////Destination Weddings////,Mumbai,4932222,670524,398865,230676,199927,Venue Decor/519830,142318,Professional Singer/Dance,3973,High-Quality,956,Scroll Invitations
1233,Palace Weddings,Jaipur,8002265,664890,107423,264735,173395,Venue Decor/519830,200288,Professional Singer/Dance,1417,Traditional Handicrafts,143,Customized Invitations
1234,Beach Weddings,Neil Island,2123635,125748,93636,179815,463917,Luxury Package,108376,Professional Singer/Dance,4598,Premium Perfumes,185,Customized Invitations
1235,Palace Weddings,Shimla,7196684,571941,253784,85904,533085,Luxury Package,471460,Celebrity Singers/Dancer,4540,Premium Perfumes,72,Traditional Paper
1236,Hotel Weddings,////Bangaram Island////,906155,67820,205542,50512,231898,Floral Decor,404713,Celebrity Singers/Dancer,4082,Premium Perfumes,749,Boxed
1237,Heritage Weddings,New Delhi,11103641,728978,406252,99823,148357,Venue Decor/519830,186619,Professional Singer/Dance,2033,High-Quality,884,Scroll Invitations
1238,Heritage Weddings,Bangalore,8980645,972054,879059,276128,501057,Luxury Package,235106,Professional Singer/Dance,637,Edible,773,Boxed
1239,Palace Weddings,Goa,7895503,846832,116936,178075,413384,Luxury Package,369592,Celebrity Singers/Dancer,3669,High-Quality,873,Scroll Invitations
1240,Hotel Weddings,Hyderabad,553124,85883,196174,285882,243714,Floral Decor,61587,Live Band,668,Edible,740,Boxed
1241,Hotel Weddings,New Delhi,443708,84238,33425,56776,450527,Luxury Package,228493,Professional Singer/Dance,3141,High-Quality,935,Scroll Invitations
1242,////Destination Weddings////,Hyderabad,5072203,696143,201872,206834,282604,Floral Decor,83114,Live Band,4884,Premium Perfumes,152,Customized Invitations
1243,////Farmhouse Weddings////,Jaisalmer,3955832,63901,56825,249196,338311,Floral Decor,59302,Live Band,1187,Traditional Handicrafts,330,Customized Invitations
1244,Cruise Weddings,////Bangaram Island////,7422789,100235,116794,240923,56034,Mandap,78227,Live Band,1133,Traditional Handicrafts,163,Customized Invitations
1245,Heritage Weddings,Jaisalmer,9492150,894524,830556,230247,345191,Floral Decor,24715,DJ/Sangeet,3615,High-Quality,786,Boxed
1246,Cruise Weddings,////Agatti Island////xc2,5665382,189733,114966,212579,415375,Luxury Package,177758,Professional Singer/Dance,4331,Premium Perfumes,476,Customized Invitations
1247,Beach Weddings,Hyderabad,2284712,112585,43031,96501,401965,Luxury Package,260933,Celebrity Singers/Dancer,513,Edible,888,Scroll Invitations
1248,Heritage Weddings,////Bangaram Island////,7270923,680774,144006,297925,445463,Luxury Package,340164,Celebrity Singers/Dancer,910,Edible,621,Boxed
1249,Heritage Weddings,Shimla,8949407,675926,285198,195477,369163,Floral Decor,146866,Professional Singer/Dance,2080,High-Quality,554,Boxed
1250,Resort Weddings,Udaipur,1795072,64455,57547,244093,485843,Luxury Package,163028,Professional Singer/Dance,693,Edible,296,Customized Invitations
1251,Cruise Weddings,////Bangaram Island////,7434229,223248,125925,69480,525939,Luxury Package,175390,Professional Singer/Dance,1753,Traditional Handicrafts,114,Customized Invitations
1252,Resort Weddings,Udaipur,2410528,128293,95539,121596,225928,Floral Decor,225133,Professional Singer/Dance,2479,High-Quality,139,Customized Invitations
1253,Beach Weddings,////Mussoorie////,1581426,83274,45496,259178,113950,Venue Decor/519830,495633,Celebrity Singers/Dancer,4337,Premium Perfumes,715,Boxed
1254,Heritage Weddings,Jodhpur,8689892,647406,486696,165959,551681,Luxury Package,364795,Celebrity Singers/Dancer,2227,High-Quality,799,Boxed
1255,////Temple Weddings////,Jaisalmer,97433,30352,9520,120147,144500,Venue Decor/519830,64813,Live Band,1247,Traditional Handicrafts,151,Customized Invitations
1256,Cruise Weddings,New Delhi,7822388,138731,124562,195120,108701,Venue Decor/519830,429222,Celebrity Singers/Dancer,3070,High-Quality,234,Customized Invitations
1257,////Destination Weddings////,Goa,3783674,531565,190385,147546,297836,Floral Decor,201752,Professional Singer/Dance,3355,High-Quality,73,Traditional Paper
1258,////Farmhouse Weddings////,Hyderabad,2813483,67973,33493,208747,537414,Luxury Package,432526,Celebrity Singers/Dancer,2736,High-Quality,449,Customized Invitations
1259,Beach Weddings,Jodhpur,3055955,112174,35936,194238,245162,Floral Decor,139903,Professional Singer/Dance,4936,Premium Perfumes,585,Boxed
1260,Beach Weddings,////Mussoorie////,3893575,118368,26191,275183,147033,Venue Decor/519830,34128,Live Band,4062,Premium Perfumes,279,Customized Invitations
1261,Palace Weddings,Udaipur,8769794,214054,598024,206173,265322,Floral Decor,478831,Celebrity Singers/Dancer,4938,Premium Perfumes,854,Scroll Invitations
1262,Cruise Weddings,Varanasi,5640308,223770,76745,89794,107365,Venue Decor/519830,468727,Celebrity Singers/Dancer,2465,High-Quality,371,Customized Invitations
1263,Cruise Weddings,Jaisalmer,6778616,237234,108306,110415,494818,Luxury Package,150691,Professional Singer/Dance,1482,Traditional Handicrafts,382,Customized Invitations
1264,////Farmhouse Weddings////,Jaipur,2814649,60963,36222,35045,136359,Venue Decor/519830,364647,Celebrity Singers/Dancer,2649,High-Quality,133,Customized Invitations
1265,Beach Weddings,Nainital,2974649,154761,60130,123669,542970,Luxury Package,318920,Celebrity Singers/Dancer,2567,High-Quality,720,Boxed
1266,Hotel Weddings,Goa,549860,67492,119222,177173,204924,Floral Decor,146174,Professional Singer/Dance,614,Edible,694,Boxed
1267,Heritage Weddings,Lonavala,6850526,562563,589132,27169,587603,Luxury Package,221651,Professional Singer/Dance,4004,Premium Perfumes,207,Customized Invitations
1268,Cruise Weddings,Jaisalmer,6389561,157442,89255,70748,578652,Luxury Package,431626,Celebrity Singers/Dancer,4040,Premium Perfumes,657,Boxed
1269,Resort Weddings,////Agatti Island////xc2,1696105,133963,147868,93921,386471,Floral Decor,462173,Celebrity Singers/Dancer,1887,Traditional Handicrafts,517,Boxed
1270,Heritage Weddings,Lonavala,7647449,625199,591700,235550,563642,Luxury Package,133704,Professional Singer/Dance,4877,Premium Perfumes,855,Scroll Invitations
1271,Resort Weddings,Lonavala,1750971,61685,102934,22188,300182,Floral Decor,247145,Professional Singer/Dance,4021,Premium Perfumes,700,Boxed
1272,////Temple Weddings////,Mumbai,40589,29842,12408,159084,98339,Venue Decor/519830,277696,Celebrity Singers/Dancer,3989,High-Quality,611,Boxed
1273,Hotel Weddings,Udaipur,700292,66508,33109,236546,278943,Floral Decor,380143,Celebrity Singers/Dancer,1356,Traditional Handicrafts,781,Boxed
1274,Hotel Weddings,Jaisalmer,561960,90433,226652,224011,280663,Floral Decor,114675,Professional Singer/Dance,4655,Premium Perfumes,561,Boxed
1275,Beach Weddings,Jaisalmer,3654207,102262,73248,147637,453934,Luxury Package,277843,Celebrity Singers/Dancer,3417,High-Quality,993,Scroll Invitations
1276,Resort Weddings,////Rishikesh////xc2,1992536,102368,69935,88844,407268,Luxury Package,416725,Celebrity Singers/Dancer,1699,Traditional Handicrafts,487,Customized Invitations
1277,Hotel Weddings,Bangalore,991512,84811,233865,140736,547500,Luxury Package,237674,Professional Singer/Dance,2951,High-Quality,352,Customized Invitations
1278,Cruise Weddings,Nainital,5529168,233955,122669,86454,317627,Floral Decor,280189,Celebrity Singers/Dancer,2368,High-Quality,406,Customized Invitations
1279,Beach Weddings,Alibaug,1568245,114002,98087,222627,101233,Venue Decor/519830,316540,Celebrity Singers/Dancer,4339,Premium Perfumes,971,Scroll Invitations
1280,Beach Weddings,Mumbai,3684481,180687,66722,238689,158053,Venue Decor/519830,343393,Celebrity Singers/Dancer,2225,High-Quality,60,Traditional Paper
1281,////Farmhouse Weddings////,Jaipur,1540207,69751,46815,141116,78754,Venue Decor/519830,260680,Celebrity Singers/Dancer,1274,Traditional Handicrafts,115,Customized Invitations
1282,Cruise Weddings,////Rishikesh////xc2,6347853,151297,112959,142631,210325,Floral Decor,371367,Celebrity Singers/Dancer,3651,High-Quality,238,Customized Invitations
1283,Resort Weddings,Lonavala,2747257,190477,26105,148195,262109,Floral Decor,67097,Live Band,2166,High-Quality,192,Customized Invitations
1284,Resort Weddings,Lonavala,1771255,158864,52591,233526,132036,Venue Decor/519830,368243,Celebrity Singers/Dancer,2265,High-Quality,182,Customized Invitations
1285,Cruise Weddings,////Agatti Island////xc2,5355830,100293,87944,161779,524269,Luxury Package,155724,Professional Singer/Dance,1970,Traditional Handicrafts,148,Customized Invitations
1286,Beach Weddings,Hyderabad,2198836,114185,51210,101942,114875,Venue Decor/519830,146701,Professional Singer/Dance,1816,Traditional Handicrafts,268,Customized Invitations
1287,////Farmhouse Weddings////,////Agatti Island////xc2,1623547,65362,49497,272759,485558,Luxury Package,116826,Professional Singer/Dance,4142,Premium Perfumes,942,Scroll Invitations
1288,Beach Weddings,////Rishikesh////xc2,4906712,95506,46159,111778,246619,Floral Decor,272696,Celebrity Singers/Dancer,2257,High-Quality,937,Scroll Invitations
1289,////Destination Weddings////,Jaipur,4661222,622541,317388,45276,583031,Luxury Package,153125,Professional Singer/Dance,4727,Premium Perfumes,159,Customized Invitations
1290,Hotel Weddings,Goa,274153,67274,596776,296346,554562,Luxury Package,267251,Celebrity Singers/Dancer,1120,Traditional Handicrafts,641,Boxed
1291,Beach Weddings,Udaipur,1651559,122568,83508,121592,147681,Venue Decor/519830,75010,Live Band,1215,Traditional Handicrafts,560,Boxed
1292,Cruise Weddings,Neil Island,5582291,221468,141282,139269,319748,Floral Decor,71346,Live Band,1544,Traditional Handicrafts,196,Customized Invitations
1293,////Farmhouse Weddings////,Shimla,2836014,88356,36630,48972,95443,Venue Decor/519830,443331,Celebrity Singers/Dancer,821,Edible,922,Scroll Invitations
1294,////Farmhouse Weddings////,Mumbai,2956731,75503,42257,64146,388069,Floral Decor,483002,Celebrity Singers/Dancer,3864,High-Quality,686,Boxed
1295,////Farmhouse Weddings////,Tirupati,2386912,80098,50384,116381,292677,Floral Decor,229058,Professional Singer/Dance,2880,High-Quality,348,Customized Invitations
1296,Beach Weddings,Jodhpur,2822663,163956,48711,222739,576089,Luxury Package,397192,Celebrity Singers/Dancer,1862,Traditional Handicrafts,609,Boxed
1297,Palace Weddings,Jaipur,5661670,769473,103903,230115,445146,Luxury Package,182363,Professional Singer/Dance,2967,High-Quality,750,Boxed
1298,////Destination Weddings////,Bangalore,3327833,541246,389601,57712,415849,Luxury Package,114854,Professional Singer/Dance,2086,High-Quality,938,Scroll Invitations
1299,Cruise Weddings,Tirupati,3792326,196853,88275,169202,140658,Venue Decor/519830,494032,Celebrity Singers/Dancer,4295,Premium Perfumes,140,Customized Invitations
1300,Palace Weddings,Nainital,8597395,731837,228971,111540,471202,Luxury Package,203206,Professional Singer/Dance,672,Edible,519,Boxed
1301,////Destination Weddings////,Jaisalmer,5491807,569654,161015,176500,246732,Floral Decor,160840,Professional Singer/Dance,1355,Traditional Handicrafts,642,Boxed
1302,////Destination Weddings////,Jaipur,3951290,625712,239268,209902,75507,Venue Decor/519830,135165,Professional Singer/Dance,1007,Traditional Handicrafts,640,Boxed
1303,Resort Weddings,Jaisalmer,1519365,98510,58562,293734,541729,Luxury Package,134378,Professional Singer/Dance,3499,High-Quality,264,Customized Invitations
1304,////Temple Weddings////,Udaipur,96875,19844,9909,262600,99993,Venue Decor/519830,245353,Professional Singer/Dance,1919,Traditional Handicrafts,82,Traditional Paper
1305,////Farmhouse Weddings////,Udaipur,3017283,61664,41252,54349,50646,Mandap,140642,Professional Singer/Dance,4657,Premium Perfumes,949,Scroll Invitations
1306,////Farmhouse Weddings////,////Mussoorie////,2007887,94368,42558,248853,529606,Luxury Package,220132,Professional Singer/Dance,864,Edible,459,Customized Invitations
1307,Resort Weddings,////Rishikesh////xc2,2669604,53379,82828,67670,296262,Floral Decor,24621,DJ/Sangeet,2709,High-Quality,268,Customized Invitations
1308,Beach Weddings,////Mussoorie////,3083213,89072,93039,155121,554766,Luxury Package,58946,Live Band,3988,High-Quality,565,Boxed
1309,////Temple Weddings////,////Rishikesh////xc2,54595,23844,6734,254496,53868,Mandap,494452,Celebrity Singers/Dancer,1959,Traditional Handicrafts,188,Customized Invitations
1310,Heritage Weddings,Bangalore,11241977,578510,777181,222126,345457,Floral Decor,199585,Professional Singer/Dance,1202,Traditional Handicrafts,822,Scroll Invitations
1311,////Temple Weddings////,Udaipur,69673,25332,8457,271063,176066,Venue Decor/519830,57498,Live Band,4684,Premium Perfumes,972,Scroll Invitations
1312,Beach Weddings,Jodhpur,4713393,198235,57920,149003,200202,Floral Decor,333340,Celebrity Singers/Dancer,832,Edible,540,Boxed
1313,////Destination Weddings////,Goa,3997482,699514,401432,293092,570706,Luxury Package,82887,Live Band,3123,High-Quality,488,Customized Invitations
